"Timestamp","uid","time","name","target","info","state","version"
"2022/11/08 7:05:21 PM CST","OS_X-Chrome-08846840561133962","1667955921798","mousedown","div.card.col-lg-4","{""which"":1,""pageX"":728,""pageY"":122}","","A"
"2022/11/08 7:05:22 PM CST","OS_X-Chrome-08846840561133962","1667955922296","mousedown","input#event-location.col-md-12","{""which"":1,""pageX"":715,""pageY"":111}","","A"
"2022/11/08 7:05:23 PM CST","OS_X-Chrome-08846840561133962","1667955923104","mousedown","input#event-name.title.col-md-12","{""which"":1,""pageX"":712,""pageY"":80}","","A"
"2022/11/08 7:05:24 PM CST","OS_X-Chrome-08846840561133962","1667955923810","keydown","input#event-name.title.col-md-12","{""which"":8}","","A"
"2022/11/08 7:05:25 PM CST","OS_X-Chrome-08846840561133962","1667955924910","keydown","input#event-name.title.col-md-12","{""which"":65}","","A"
"2022/11/08 7:05:25 PM CST","OS_X-Chrome-08846840561133962","1667955925657","mousedown","input#event-location.col-md-12","{""which"":1,""pageX"":728,""pageY"":109}","","A"
"2022/11/08 7:05:26 PM CST","OS_X-Chrome-08846840561133962","1667955926297","keydown","input#event-location.col-md-12","{""which"":65}","","A"
"2022/11/08 7:05:27 PM CST","OS_X-Chrome-08846840561133962","1667955927663","mousedown","button#create-event-button.btn.btn-secondary","{""which"":1,""pageX"":915,""pageY"":298}","","A"
"2022/11/08 7:19:29 PM CST","OS_X-Chrome-08846840561133962","1667956769320","mousedown","input#event-location.col-md-12","{""which"":1,""pageX"":762,""pageY"":94}","","A"
"2022/11/08 7:19:30 PM CST","OS_X-Chrome-08846840561133962","1667956769882","mousedown","input#event-name.title.col-md-12","{""which"":1,""pageX"":725,""pageY"":80}","","A"
"2022/11/08 7:19:31 PM CST","OS_X-Chrome-08846840561133962","1667956770729","keydown","input#event-name.title.col-md-12","{""which"":8}","","A"
"2022/11/08 7:19:31 PM CST","OS_X-Chrome-08846840561133962","1667956771423","keydown","input#event-name.title.col-md-12","{""which"":8}","","A"
"2022/11/08 7:19:32 PM CST","OS_X-Chrome-08846840561133962","1667956772087","keydown","input#event-name.title.col-md-12","{""which"":71}","","A"
"2022/11/08 7:19:32 PM CST","OS_X-Chrome-08846840561133962","1667956772282","keydown","input#event-name.title.col-md-12","{""which"":89}","","A"
"2022/11/08 7:19:32 PM CST","OS_X-Chrome-08846840561133962","1667956772580","keydown","input#event-name.title.col-md-12","{""which"":77}","","A"
"2022/11/08 7:19:33 PM CST","OS_X-Chrome-08846840561133962","1667956773493","mousedown","input#event-location.col-md-12","{""which"":1,""pageX"":682,""pageY"":104}","","A"
"2022/11/08 7:19:35 PM CST","OS_X-Chrome-08846840561133962","1667956774957","keydown","input#event-location.col-md-12","{""which"":8}","","A"
"2022/11/08 7:19:35 PM CST","OS_X-Chrome-08846840561133962","1667956775373","keydown","input#event-location.col-md-12","{""which"":16}","","A"
"2022/11/08 7:19:35 PM CST","OS_X-Chrome-08846840561133962","1667956775558","keydown","input#event-location.col-md-12","{""which"":83}","","A"
"2022/11/08 7:19:36 PM CST","OS_X-Chrome-08846840561133962","1667956775845","keydown","input#event-location.col-md-12","{""which"":67}","","A"
"2022/11/08 7:19:36 PM CST","OS_X-Chrome-08846840561133962","1667956776015","keydown","input#event-location.col-md-12","{""which"":69}","","A"
